message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
298;17.9479;0.000000;0.778788;2.077485;0.456537;-0.605711;2.963149;-0.072324
299;18.008;0.000000;0.778806;2.077544;0.456616;-0.600349;2.963979;-0.070693
300;18.068;0.000000;0.778823;2.077603;0.456700;-0.594990;2.964788;-0.068971
301;18.128;0.000000;0.778845;2.077662;0.456772;-0.589664;2.965643;-0.067672
302;18.1879;0.000000;0.778875;2.077730;0.456879;-0.584387;2.966431;-0.065917
303;18.2479;0.000000;0.778914;2.077780;0.456936;-0.579141;2.967286;-0.064456
304;18.3079;0.000000;0.778970;2.077829;0.456908;-0.573989;2.968344;-0.063177
305;18.368;0.000000;0.779033;2.077878;0.456878;-0.568847;2.969536;-0.062105
306;18.4279;0.000000;0.779065;2.077920;0.456900;-0.563661;2.970623;-0.060911
307;18.488;0.000000;0.779086;2.077987;0.456927;-0.558542;2.971813;-0.060181
308;18.548;0.000000;0.779101;2.078038;0.456947;-0.553563;2.972750;-0.058430
309;18.608;0.000000;0.779121;2.078063;0.456931;-0.548446;2.973901;-0.057404
310;18.668;0.000000;0.779144;2.078105;0.456957;-0.543427;2.974902;-0.056199
311;18.728;0.000000;0.779170;2.078138;0.456929;-0.538445;2.976076;-0.055162
312;18.7879;0.000000;0.779196;2.078180;0.456934;-0.533517;2.976926;-0.053402
313;18.8479;0.000000;0.779232;2.078213;0.456887;-0.528530;2.978147;-0.052538
314;18.908;0.000000;0.779255;2.078255;0.456890;-0.523689;2.979108;-0.051279
315;18.968;0.000000;0.779275;2.078306;0.456865;-0.518898;2.980276;-0.050269
316;19.028;0.000000;0.779291;2.078340;0.456882;-0.514069;2.981261;-0.048593
317;19.088;0.000000;0.779307;2.078390;0.456875;-0.509330;2.982476;-0.047632
318;19.148;0.000000;0.779321;2.078441;0.456862;-0.504611;2.983562;-0.046521
